check,passed
entity_primary_key_unique,True
account_primary_key_unique,True
payment_primary_key_unique,True
balance_account_date_unique,True
fx_currency_date_unique,True
account_entities_resolve,True
balance_accounts_resolve,True
payment_accounts_resolve,True
balance_fx_resolves,True
payment_fx_resolves,True
payment_currency_matches_account,True
balance_panel_complete,True
fx_panel_complete,True
reporting_date_not_before_balance_date,True
available_not_above_positive_closing,True
repair_minutes_nonnegative,True
nonexception_repair_minutes_zero,True
all_required_fields_complete,True
entity_region_domain_valid,True
account_status_domain_valid,True
visibility_method_domain_valid,True
balance_source_quality_domain_valid,True
payment_status_domain_valid,True
restricted_flag_is_boolean,True
payment_flags_are_boolean,True
fx_rates_positive,True
payment_amounts_positive,True
payment_fees_nonnegative,True
account_fees_nonnegative,True
balance_date_range_contiguous,True
fx_dates_match_balance_dates,True
process_numeric_inputs_nonnegative,True
process_manual_percentage_in_range,True
